Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки
Python-интенсив. 50 быстрых упражнений,Лернер Реувен,АСТ:Программирование для всех,902₽,1 236₽
Основы программирования на языке PascalABC.NET. Основные управляющие структуры. Практикум,Ковалёва Зося Александровна,Лань:Компьютеры и программное обеспечение,695₽,1 544₽
Реализация многопоточности в языке Java. Учебное пособие для вузов,Федоричев,Лань:Компьютеры и программное обеспечение,407₽,905₽
Криптографические протоколы. Схемы разделения секрета. Учебное пособие,Рацеев Сергей Михайлович,Лань:Информационная безопасность,1 712₽,3 804₽
В поисках эффекта. Планирование экспериментов и причинный вывод в статистике,Хантингтон-Клейн Ник,,3 199₽,7 108₽
Программирование в примерах и задачах. Учебное пособие для вузов,Маран,Лань:Компьютеры и программное обеспечение,1 854₽,4 119₽
BDD в действии,Смарт,,2 781₽,6 179₽
Алгоритмы и структуры для массивных наборов данных,Меджедович,,2 224₽,4 943₽
Math CAD и Python. Обучение по технологии STEM. Учебное пособие,Очков,Лань:Компьютеры и программное обеспечение,4 860₽,10 801₽
Разработка серверной части веб-ресурса.Учебное пособие,Никулин,Лань:Компьютеры и программное обеспечение,1 553₽,3 452₽
Реализации некоторых криптосистем и корректирующих кодов. Учебное пособие,Рацеев Сергей Михайлович,Лань:Компьютеры и программное обеспечение,2 052₽,4 561₽
Логистические системы. Анализ и синтез структурно-функционального облика. Учебное пособие,Лысенков Александр Иванович,Лань:Логистика,1 569₽,3 486₽
Методы восстановления непараметрической регрессии в условиях несбалансированных данных. Монография,Пылов,,811₽,1 803₽
Азбука программирования игр в UNITY 3D,Рубочкин Владимир,,557₽,1 238₽
"Знакомьтесь, Python. Секреты профессии",Павлов Евгений Иванович,АСТ:Программирование для всех,759₽,1 040₽
Эволюционное глубокое обучение. Генетические алгоритмыи нейронные сети,Лэнхэм Майкл,,2 781₽,6 179₽
Численные методы безусловной оптимизации. Учебное пособие,Каныгин,,999₽,2 221₽
ESP32-C3. Беспроводное приключение. Полное руководство по IoT,,,2 224₽,4 943₽
Linux для сетевых инженеров,Ванденбринк Роб,Питер:Библиотека программиста,2 239₽,2 799₽
Практикум. Демонстрационный экзамен базового уровня. Сетевое и системное администрирование. СПО,Уймин Антон Григорьевич,Лань:Компьютеры и программное обеспечение,1 366₽,3 035₽
Программная инженерия. Интеграционный подход к разработке. Учебник,Турнецкая,Лань:Компьютеры и программное обеспечение,1 540₽,3 422₽
Моделирование информационных систем. Unified Modeling Language. Учебное пособие для вузов,,Лань:Компьютеры и программное обеспечение,713₽,1 585₽
Производство программ. Инженерный подход. Монография,Охтилев,,754₽,1 675₽
BLAZOR в действии,Сэйнти Крис,,2 224₽,4 943₽
Сверхбыстрый Python. Эффективные техники для работы с большими наборами данных,Антао Тиаго,,2 503₽,5 563₽
Грокаем функциональное программирование,Плахта Михаил,Питер:Библиотека программиста,1 903₽,2 379₽
Информационная безопасность. Защита и нападение,Бирюков Андрей Александрович,,2 085₽,4 634₽
"Java. устранение проблем. Чтение, отладка и оптимизация JVM-приложений",Спилкэ Лауренциу,,2 085₽,4 634₽
Архитектура встраиваемых систем,Лакамера Даниэле,,2 085₽,4 634₽
"Проектирование в Платформе nanoCAD с модулями ""механика"" и ""3D"". Учебное пособие",Кувшинов Николай Сергеевич,,1 391₽,3 091₽
100 ошибок Go и как их избежать,Харшани Тейва,Питер:Для профессионалов,2 632₽,3 290₽
"Golang для профи. Создаем профессиональные утилиты, параллельные серверы и сервисы",Цукалос Михалис,Питер:Для профессионалов,3 495₽,4 369₽
Машинное зрение. Основы и алгоритмы с примерами на Matlab,Корк Питер,,3 365₽,7 478₽
Изучаем RAY. Гибкие распределенные вычисления на Python в машинном обучении,Пумперла,,1 947₽,4 326₽
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,1 110₽,2 466₽
Разработка SCADA-систем. Учебное пособие,Кангин,,1 434₽,3 186₽
PHP и MYSQL. Серверная веб-разработка,Дакетт Джон,Бомбора:Мировой компьютерный бестселлер,2 772₽,3 797₽
Pyomo. Моделирование оптимизации на Python,Бинум,,1 668₽,3 707₽
Запускаем Ansible. Простой способ автоматизации управления конфигурациями,Мейер,,2 781₽,6 179₽
Изучаем vi и Vim. Не просто редакторы,Роббинс,Питер:Библиотека программиста,2 688₽,3 446₽
Основы вычислений и программирования в пакете MathCAD PRIME. Учебное пособие,Воскобойников,Лань:Учебники для вузов. Специальная литература,1 598₽,3 550₽
Современные подходы в программировании при создании интерактивной анимации на С# и Unity,Курбанисмаилов Заур Магомедович,Лань:Компьютеры и программное обеспечение,1 482₽,3 294₽
"Clojure на производстве. Зипперы, базы данных, REPL",Гришаев Иван,,1 947₽,4 326₽
Проектирование информационных систем. Основы управления проектами. Лабораторный практикум,Баллод,Лань:Компьютеры и программное обеспечение,629₽,1 397₽
Компьютерная геометрия и графика в web-разработке. Учебное пособие для СПО,Васильев Николай Павлович,Лань:Компьютеры и программное обеспечение,968₽,2 150₽
Создание игровой логики. Практикум,Капанов,Лань:Компьютеры и программное обеспечение,380₽,845₽
Компьютерное моделирование химико-технологических процессов в программе Aspen Plus,Перерва,Лань:Компьютеры и программное обеспечение,2 307₽,5 126₽
Создание игровой логики. Практикум,Капанов,Лань:Компьютеры и программное обеспечение,380₽,845₽
